# Energy loss (eV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	Intra-t2g excitations (arb. units)	t2g-eg excitations (arb. units)
           -0.0213828451             5.7560630538             0.1479503948             0.1042020337             0.0000000001
           -0.0202428451             6.2439445280             0.1574258581             0.1050657548             0.0000000001
           -0.0191028451             6.7484262790             0.1678511026             0.1059360317             0.0000000001
           -0.0179628451             7.2663098523             0.1793068998             0.1068129133             0.0000000001
           -0.0168228451             7.7938937063             0.1920043955             0.1076964489             0.0000000001
           -0.0156828451             8.3269809964             0.2059481848             0.1085866886             0.0000000001
           -0.0145428451             8.8608950938             0.2212000414             0.1094836826             0.0000000001
           -0.0134028451             9.3905036262             0.2378488286             0.1103874820             0.0000000001
           -0.0122628451             9.9102526000             0.2559835333             0.1112981381             0.0000000001
           -0.0111228451            10.4142132675             0.2757131287             0.1122157028             0.0000000001
           -0.0099828451            10.8961457097             0.2973097173             0.1131402287             0.0000000001
           -0.0088428451            11.3495843452             0.3206699264             0.1140717686             0.0000000001
           -0.0077028451            11.7679512337             0.3458730350             0.1150103762             0.0000000001
           -0.0065628451            12.1447024616             0.3729933579             0.1159561055             0.0000000001
           -0.0054228451            12.4735103646             0.4020991588             0.1169090112             0.0000000001
           -0.0042828451            12.7484794091             0.4333526446             0.1178691484             0.0000000001
           -0.0031428451            12.9643864132             0.4668835702             0.1188365730             0.0000000001
           -0.0020028451            13.1169275984             0.5025649488             0.1198113413             0.0000000001
           -0.0008628451            13.2029478647             0.5404266943             0.1207935104             0.0000000001
            0.0002771549            13.2206242920             0.5804873101             0.1217831378             0.0000000001
            0.0014171549            13.1695782801             0.6227532041             0.1227802816             0.0000000001
            0.0025571549            13.0508994091             0.6674006641             0.1237850009             0.0000000001
            0.0036971549            12.8670773023             0.7143215121             0.1247973549             0.0000000001
            0.0048371549            12.6218520010             0.7633791073             0.1258174039             0.0000000001
            0.0059771549            12.3200047096             0.8145244404             0.1268452086             0.0000000001
            0.0071171549            11.9671164728             0.8676960700             0.1278808305             0.0000000001
            0.0082571549            11.5693217546             0.9228207112             0.1289243317             0.0000000001
            0.0093971549            11.1330783754             0.9800257614             0.1299757750             0.0000000001
            0.0105371549            10.6649673184             1.0389997723             0.1310352240             0.0000000001
            0.0116771549            10.1715280229             1.0996178074             0.1321027430             0.0000000001
            0.0128171549             9.6591286389             1.1617658448             0.1331783968             0.0000000001
            0.0139571549             9.1338669722             1.2253232620             0.1342622513             0.0000000001
            0.0150971549             8.6014963497             1.2901932298             0.1353543729             0.0000000001
            0.0162371549             8.0673707455             1.3563160693             0.1364548288             0.0000000001
            0.0173771549             7.5364045227             1.4234268591             0.1375636870             0.0000000001
            0.0185171549             7.0130434711             1.4913893221             0.1386810164             0.0000000001
            0.0196571549             6.5012450489             1.5600663147             0.1398068866             0.0000000001
            0.0207971549             6.0044666883             1.6293207346             0.1409413681             0.0000000001
            0.0219371549             5.5256616313             1.6990346701             0.1420845320             0.0000000001
            0.0230771549             5.0672820605             1.7690532596             0.1432364504             0.0000000001
            0.0242171549             4.6312893502             1.8392167218             0.1443971965             0.0000000001
            0.0253571549             4.2191711699             1.9093968715             0.1455668439             0.0000000001
            0.0264971549             3.8319649903             1.9794691876             0.1467454675             0.0000000001
            0.0276371549             3.4702873361             2.0493132440             0.1479331429             0.0000000001
            0.0287771549             3.1343679396             2.1187685697             0.1491299465             0.0000000001
            0.0299171549             2.8240877922             2.1877322591             0.1503359560             0.0000000001
            0.0310571549             2.5390199978             2.2561113095             0.1515512498             0.0000000001
            0.0321971549             2.2784722840             2.3238061653             0.1527759072             0.0000000001
            0.0333371549             2.0415300501             2.3907224955             0.1540100086             0.0000000001
            0.0344771549             1.8270988867             2.4567681066             0.1552536354             0.0000000001
            0.0356171549             1.6339456133             2.5217318116             0.1565068701             0.0000000001
            0.0367571549             1.4607370103             2.5856485118             0.1577697960             0.0000000001
            0.0378971549             1.3060755770             2.6484461337             0.1590424976             0.0000000001
            0.0390371549             1.1685318109             2.7100575112             0.1603250604             0.0000000002
            0.0401771549             1.0466726663             2.7704202374             0.1616175711             0.0000000002
            0.0413171549             0.9390860069             2.8294234103             0.1629201174             0.0000000002
            0.0424571549             0.8444010105             2.8869359531             0.1642327881             0.0000000002
            0.0435971549             0.7613046084             2.9430292706             0.1655556731             0.0000000002
            0.0447371549             0.6885541496             2.9976594834             0.1668888637             0.0000000002
            0.0458771549             0.6249865589             3.0507865321             0.1682324521             0.0000000002
            0.0470171549             0.5695243250             3.1023740043             0.1695865317             0.0000000002
            0.0481571549             0.5211786883             3.1522693365             0.1709511973             0.0000000002
            0.0492971549             0.4790504254             3.2004698278             0.1723265448             0.0000000002
            0.0504371549             0.4423286267             3.2470365210             0.1737126715             0.0000000002
            0.0515771549             0.4102878544             3.2919468872             0.1751096756             0.0000000002
            0.0527171549             0.3822840493             3.3351812479             0.1765176571             0.0000000002
            0.0538571549             0.3577495189             3.3767226566             0.1779367169             0.0000000002
            0.0549971549             0.3361873100             3.4163671778             0.1793669574             0.0000000002
            0.0561371549             0.3171652242             3.4542576771             0.1808084824             0.0000000002
            0.0572771549             0.3003096971             3.4904182788             0.1822613970             0.0000000002
            0.0584171549             0.2852997219             3.5248426538             0.1837258078             0.0000000002
            0.0595571549             0.2718609585             3.5575267133             0.1852018225             0.0000000002
            0.0606971549             0.2597601365             3.5884397803             0.1866895507             0.0000000002
            0.0618371549             0.2487998270             3.6174143476             0.1881891031             0.0000000002
            0.0629771549             0.2388136332             3.6446500746             0.1897005921             0.0000000002
            0.0641171549             0.2296618255             3.6701517615             0.1912241315             0.0000000002
            0.0652571549             0.2212274282             3.6939261116             0.1927598367             0.0000000002
            0.0663971549             0.2134127509             3.7159816766             0.1943078246             0.0000000002
            0.0675371549             0.2061363465             3.7362403109             0.1958682138             0.0000000002
            0.0686771549             0.1993303684             3.7546738106             0.1974411243             0.0000000002
            0.0698171549             0.1929382960             3.7714283073             0.1990266778             0.0000000002
            0.0709571549             0.1869129947             3.7865196860             0.2006249979             0.0000000002
            0.0720971549             0.1812150735             3.7999653856             0.2022362096             0.0000000002
            0.0732371549             0.1758115058             3.8117843427             0.2038604397             0.0000000003
            0.0743771549             0.1706744799             3.8218577591             0.2054978166             0.0000000003
            0.0755171549             0.1657804464             3.8302851507             0.2071484707             0.0000000003
            0.0766571549             0.1611093354             3.8371566576             0.2088125341             0.0000000003
            0.0777971549             0.1566439154             3.8424969830             0.2104901406             0.0000000003
            0.0789371549             0.1523692720             3.8463320036             0.2121814260             0.0000000003
            0.0800771549             0.1482723856             3.8486887045             0.2138865278             0.0000000003
            0.0812171549             0.1443417915             3.8494195258             0.2156055855             0.0000000003
            0.0823571549             0.1405673061             3.8487273783             0.2173387405             0.0000000003
            0.0834971549             0.1369398076             3.8466509854             0.2190861362             0.0000000003
            0.0846371549             0.1334510607             3.8432213484             0.2208479179             0.0000000003
            0.0857771549             0.1300935763             3.8384702214             0.2226242329             0.0000000003
            0.0869171549             0.1268604993             3.8323927296             0.2244152307             0.0000000003
            0.0880571549             0.1237455184             3.8249390827             0.2262210626             0.0000000003
            0.0891971549             0.1207427936             3.8162708780             0.2280418823             0.0000000003
            0.0903371549             0.1178468977             3.8064223388             0.2298778453             0.0000000003
            0.0914771549             0.1150527683             3.7954280828             0.2317291095             0.0000000003
            0.0926171549             0.1123556688             3.7833230584             0.2335958350             0.0000000003
            0.0937571549             0.1097511557             3.7700745236             0.2354781840             0.0000000003
            0.0948971549             0.1072350512             3.7557255539             0.2373763209             0.0000000003
            0.0960371549             0.1048034202             3.7403801873             0.2392904127             0.0000000003
            0.0971771549             0.1024525506             3.7240740759             0.2412206283             0.0000000004
            0.0983171549             0.1001789357             3.7068428766             0.2431671393             0.0000000004
            0.0994571549             0.0979792592             3.6887221955             0.2451301195             0.0000000004
            0.1005971549             0.0958503821             3.6696648242             0.2471097452             0.0000000004
            0.1017371549             0.0937893303             3.6497728364             0.2491061951             0.0000000004
            0.1028771549             0.0917932838             3.6291053363             0.2511196505             0.0000000004
            0.1040171549             0.0898595671             3.6076971167             0.2531502952             0.0000000004
            0.1051571549             0.0879856400             3.5855826561             0.2551983155             0.0000000004
            0.1062971549             0.0861690895             3.5627914009             0.2572639005             0.0000000004
            0.1074371549             0.0844076219             3.5392882804             0.2593472416             0.0000000004
            0.1085771549             0.0826990560             3.5151875814             0.2614485334             0.0000000004
            0.1097171549             0.0810413166             3.4905219725             0.2635679728             0.0000000004
            0.1108571549             0.0794324281             3.4653236089             0.2657057598             0.0000000004
            0.1119971549             0.0778705092             3.4396241039             0.2678620970             0.0000000004
            0.1131371549             0.0763537672             3.4134356742             0.2700371901             0.0000000004
            0.1142771549             0.0748804934             3.3867743543             0.2722312477             0.0000000005
            0.1154171549             0.0734490583             3.3597098918             0.2744444813             0.0000000005
            0.1165571549             0.0720579073             3.3322712776             0.2766771055             0.0000000005
            0.1176971549             0.0707055569             3.3044868408             0.2789293380             0.0000000005
            0.1188371549             0.0693905902             3.2763842333             0.2812014000             0.0000000005
            0.1199771549             0.0681116542             3.2479696495             0.2834935155             0.0000000005
            0.1211171549             0.0668674558             3.2192814400             0.2858059122             0.0000000005
            0.1222571549             0.0656567589             3.1903594887             0.2881388210             0.0000000005
            0.1233971549             0.0644783815             3.1612284033             0.2904924765             0.0000000005
            0.1245371549             0.0633311928             3.1319120661             0.2928671168             0.0000000005
            0.1256771549             0.0622141105             3.1024336311             0.2952629839             0.0000000005
            0.1268171549             0.0611260987             3.0728020564             0.2976803234             0.0000000005
